0,1,2
1,Intimo restaurante,1
2,Restaurante Dom Dinis,1
3,Herdade dos Grous Restaurante,1
4,Adega Tipica Restaurante,1
5,Bifanas do Marinho,1
6,Pulo Do Lobo,1
7,Toi Farois,1
8,Restaurante Sabores Do Monte,1
9,Pizzaria Milano,1
10,Pizaria e Restaurante Mediterraneo Dona Maria,1
11,Frango a Guia,1
12,Casa de Pasto - Tem Avondo,1
13,Restaurante Espelho DAgua,1
14,Hamburgueria da Avenida,1
15,O Arbitro,1
16,Adega do Castelo - Museu do Vinho,1
17,Pinguinhas - Tapas e Petiscos,1
18,Taberna A Pipa,1
19,Luiz Da Rocha,1
20,Restaurante Pousada Sao Francisco,1
21,Malhadinha Restaurant Wine & Gourmet,1
22,A Ilha Do Peixe,1
23,Sabores do Campo,1
24,Art Deco,1
25,Os Bolos da Marisa,1
26,Restaurante Tipico O Arcada,1
27,A Merenda Snack Bar Restaurante,1
28,A Pracinha,1
29,Restaurante Alcoforado,1
30,Restaurante A Lareira,1
31,Castelo Beja,2
32,Museu Regional Beja (Museu Rainha D. Leonor),2
33,Nucleo Museologico,2
34,Casa Santa Vitoria,2
35,Igreja Nossa Senhora Dos Prazeres E Museu Episcopal,2
36,Ruinas Romanas Pisoes,2
37,Museu Visigotico--Igreja Santo Amaro,2
38,Jardim Gago Coutinho e Sacadura Cabral,2
39,Se Catedral Beja / Igreja Sao Tiago,2
40,Museu Jorge Vieira/Casa Das Artes,2
41,Porta Evora - Arco romano Beja,2
42,Pelourinho Beja,2
43,Igreja Santa Maria da Feira,2
44,Igreja do Salvador,2
45,Igreja da Misericordia,2
46,Estatua da Rainha Dona Leonor,2
47,Igreja do Carmo,2
48,Ermida Santo Andre,2
49,Igreja Nossa Senhora do Pe da Cruz,2
50,Ermida Santo Estevao,2
51,Bairro da Mouraria,2
52,Janela Manuelina,2
53,Arcadas da Praca da Republica,2
54,Arco das portas Avis,2
55,Monumento ao Prisioneiro Politico Desconhecido,2
56,Palacio dos Maldonados,2
57,Convento Santo Antonio em Beja,2
58,Colegio dos Jesuitas Beja,2
59,Piscina Descoberta Municipal Beja,2
60,Passo da Rua da Ancha,2
61,Pousada Convento Beja,3
62,Vila Gale Clube de Campo,3
63,Herdade dos Grous,3
64,Hotel Bejense,3
65,Herdade do Vau,3
66,Herdade Da Diabroria,3
67,Hotel Melius,3
68,BejaParque Hotel,3
69,Hotel Sao Domingos,3
70,Maria`s Guesthouse,3
71,Hotel Santa Barbara,3
72,Beja Hostel,3
73,Imperio romano guest house,3
74,Guest House Stories,3
75,Monte Das Beatas - Alojamento Local,3
76,Hospedaria Santa Maria,3
77,Aljana Guest House,3
78,Sesmarias Turismo Rural & SPA,3
79,Monte da Floresta B&B,3
80,Casa de Pedrogao,3
81,Hotel Santa Clara,3
82,Herdade das Barradas da Serra,3
83,Paradise In Portugal,3
84,Villa Extramuros,3
85,Albergaria Do Calvario,3
