,Avaliações
0,"O espaço é simples, mas muito bonito. Estava tudo muito limpo. O terraço é fabuloso e os anfitriões foram acolhedores e preocupados em saber se tínhamos tudo o que precisávamos. Relação preço / qualidade, não encontrei melhor em Beja.
"
1,"Nada a apontar.
"
2,"O Sr. Luciano e a Sra. Érica são ultra prestativos e estão sempre prontos para ajudar em qualquer situação. Muito bem localizado, perto de um Pingo Doce. Ficamos duas vezes, com intervalo de uma semana. Da primeira vez fizemos a sugestão de troca do modelo da torneira da cozinha, que estava funcionando perfeitamente e tivemos a grata surpresa de encontrar uma torneira do modelo sugerido por nós. Recomendamos! Ótimo custo/benefício. 
"
3,"As almofadas muito altas😅
"
4,"Limpeza, decoração, localização.
"
5,"Achei o valor um pouco alto, para alojamento de um casal
"
6,"otima localização, alojamento impecável
"
7,"A única coisa menos agradável foi a cama que é um pouco pequena
"
8,"Localização muito boa, cozinha muito bem equipada, com tudo o que é necessário e muito mais. Limpeza impecável em toda a habitação. Tudo 5 estrelas.
"
9,"Gostamos de tudo !
"
10,"O apartamento é muito moderno.Super limpo, super bem decorado. Tinha tudo para cozinhar.Estava bem localizado na cidade, com um supermercado em frente.  O terraço além de ser super grande, estava também super bem decorado. A cama era super confortável !
"
11,"Sem nada a reclamar
"
12,"No Geral TUDO
1° A simpatia e a preocupação do bem servir desde o primeira minuto
2° Dois excelentes quartos cada um com a sua magnífica TV
3• Uma cozinha completamente equipada  
4° WC muito bom e com bastante espaço
5° Um terraço muito bem composto com mesa para aproveitar a brisa da noite ao jantar.
6° A limpeza do melhor 
7° Simplesmente TOP
8° RECOMENDO
9° RECOMENDO
"
13,"falta uma sala para podermos conversar sem ser na varanda
"
14,"localização excelente
"
15,"Atendimento e instalações excelentes

"
16,"Tudo
 
"
